ecoregion,elevation,slope,aspect,n_trend_unfitted_count,n_trend_fitted_count,n_insig_trend_count,n_sig_trend_count,positive_sig_trend_count,negative_sig_trend_count,positive_sig_trend_mean,negative_sig_trend_mean,all_sig_trend_mean,percent_sig_pixels,trend_asymmetry_ratio,lsp_change
40120,1,1,2.0,6,1534,862,678,669,9,0.008623425154290737,-0.006055815291029112,0.008428567980237818,44.19817470664928,74.33333333333333,1
40166,1,1,1.0,4,42,26,20,18,2,0.009935440186781113,-0.008592436673364255,0.008082652500766575,47.61904761904761,9.0,1
40166,1,1,2.0,3,24,11,16,15,1,0.010145435127530526,-0.01519504189491272,0.008561655313627823,66.66666666666666,15.0,1
40166,1,2,1.0,0,4,3,1,1,0,0.00411401011727073,,0.00411401011727073,25.0,inf,0
40301,1,1,1.0,3,126,92,37,29,8,0.0043624439313894375,-0.0047958603229594195,0.0023822700385572517,29.365079365079367,3.625,1
40301,1,1,2.0,2,154,100,56,27,29,0.004690961719862878,-0.004858245603723208,-0.00025416350127991673,36.36363636363637,0.9310344827586207,0
40301,1,2,1.0,167,5605,4244,1528,1476,52,0.004852283488957568,-0.004670083842392137,0.004528223867733625,27.26137377341659,28.384615384615383,1
40301,1,2,2.0,237,8475,6141,2571,2486,85,0.004485928065628305,-0.004642984320768904,0.004184116493149206,30.336283185840706,29.24705882352941,1
40301,1,3,1.0,363,10081,8022,2422,2364,58,0.00507696329048678,-0.005317309818253086,0.00482805006162348,24.025394306120422,40.758620689655174,1
40301,1,3,2.0,455,16158,12082,4531,4463,68,0.00431282366115914,-0.004013075690471241,0.004187870856941336,28.04183686099765,65.63235294117646,1
40301,1,4,1.0,38,880,790,128,115,13,0.005085633575336298,-0.00498682984635976,0.004062649009070292,14.545454545454545,8.846153846153847,1
40301,1,4,2.0,43,1520,1158,405,392,13,0.003937864946906639,-0.0044472732655010585,0.003668712362310836,26.644736842105267,30.153846153846153,1
40301,2,1,1.0,19,453,385,87,85,2,0.004978847271817353,-0.004557923265984134,0.0047596111675000784,19.205298013245034,42.5,1
40301,2,1,2.0,16,505,420,101,88,13,0.005178841579495017,-0.005343959289408455,0.0038244216656757577,20.0,6.769230769230769,1
40301,2,2,1.0,918,34247,28651,6514,6301,213,0.005159335579285467,-0.005187766871045067,0.004820997718996795,19.020644144012614,29.582159624413144,1
40301,2,2,2.0,1010,37367,30152,8225,7929,296,0.0047301890115224845,-0.0045272767031857,0.004397032798567637,22.011400433537613,26.78716216216216,1
40301,2,3,1.0,3446,101862,86567,18741,18100,641,0.0052892729553926255,-0.00503524517773329,0.004936142592907502,18.39842139365023,28.237129485179405,1
40301,2,3,2.0,3439,111972,89215,26196,25490,706,0.0044781670709243705,-0.004314236860332406,0.004241205810599616,23.395134497910192,36.10481586402266,1
40301,2,4,1.0,757,15569,13899,2427,2250,177,0.005205069758259653,-0.004710681290521135,0.004481918569288,15.58866979253645,12.711864406779661,1
40301,2,4,2.0,1053,29277,24184,6146,5905,241,0.004129336245817107,-0.0042622879877737075,0.003800279714691923,20.99258803839191,24.502074688796682,1
40301,3,1,1.0,2,34,28,8,8,0,0.007029467922794582,,0.007029467922794582,23.52941176470588,inf,1
40301,3,1,2.0,2,42,36,8,7,1,0.006475122864106374,-0.011248724801199777,0.004259641905943104,19.047619047619047,7.0,1
40301,3,2,1.0,99,2709,2336,472,455,17,0.0060347957919286155,-0.005634692231660714,0.005614496435146797,17.423403469915097,26.764705882352942,1
40301,3,2,2.0,100,2346,2010,436,420,16,0.005636540377466805,-0.005292992360347998,0.005235456607271767,18.584825234441603,26.25,1
