ecoregion,elevation,slope,aspect,n_trend_unfitted_count,n_trend_fitted_count,n_insig_trend_count,n_sig_trend_count,positive_sig_trend_count,negative_sig_trend_count,positive_sig_trend_mean,negative_sig_trend_mean,all_sig_trend_mean,percent_sig_pixels,trend_asymmetry_ratio,lsp_change
40301,3,1,1.0,2,34,33,3,2,1,1.8055586370099492,-2.3966910622336646,0.40480873726207794,8.823529411764707,2.0,0
40301,3,1,2.0,2,42,41,3,2,1,1.5511986800602504,-4.587178548177083,-0.4949270626855274,7.142857142857142,2.0,0
40301,3,2,1.0,99,2709,2616,192,66,126,2.1501419556348447,-2.5335863366046056,-0.9235547361472941,7.087486157253599,0.5238095238095238,0
40301,3,2,2.0,100,2346,2270,176,101,75,2.537177218167273,-2.8515774347545664,0.24083290584262532,7.502131287297528,1.3466666666666667,0
40301,3,3,1.0,486,9283,9146,623,186,437,2.2505570136096367,-2.176009011277696,-0.854433921985491,6.711192502423785,0.425629290617849,1
40301,3,3,2.0,521,6938,6894,565,395,170,2.6647435418522796,-2.7591435418339243,1.0327775166723596,8.143557221101181,2.323529411764706,1
40301,3,4,1.0,224,2215,2275,164,38,126,2.3912865274212645,-2.1200119820956593,-1.0747111079392986,7.404063205417607,0.30158730158730157,1
40301,3,4,2.0,207,3321,3296,232,171,61,2.5821566480110594,-2.597247236041681,1.220330626773054,6.985847636254141,2.80327868852459,1
40301,4,2,1.0,6,21,27,0,0,0,,,,0.0,,0
40301,4,2,2.0,3,18,20,1,0,1,,-2.7531826972961424,-2.7531826972961424,5.555555555555555,0.0,1
40301,4,3,1.0,7,26,33,0,0,0,,,,0.0,,0
40301,4,3,2.0,1,23,24,0,0,0,,,,0.0,,0
40301,4,4,1.0,20,37,56,1,1,0,2.351613362630208,,2.351613362630208,2.7027027027027026,inf,0
40301,4,4,2.0,7,75,80,2,0,2,,-1.4046228090922037,-1.4046228090922037,2.666666666666667,0.0,0
40401,1,1,1.0,0,19,19,0,0,0,,,,0.0,,0
40401,1,1,2.0,0,22,20,2,1,1,1.4949656168619792,-1.9882999610037824,-0.2466671720709016,9.090909090909092,1.0,0
40401,1,2,1.0,33,1667,1571,129,66,63,1.7842966145686634,-1.5276240296974866,0.1668469976014741,7.738452309538093,1.0476190476190477,0
40401,1,2,2.0,48,1530,1473,105,54,51,2.024661625949465,-1.5423026759026086,0.29213610790702926,6.862745098039216,1.0588235294117647,0
40401,1,3,1.0,81,3072,2953,200,115,85,1.8522650913896401,-1.6126008215518128,0.37969707838952266,6.510416666666667,1.3529411764705883,0
40401,1,3,2.0,81,3628,3449,260,95,165,1.861909725816229,-1.5919875539143462,-0.3299866247820206,7.166482910694598,0.5757575757575758,0
40401,1,4,1.0,12,334,330,16,10,6,1.6023144479511302,-1.4531543106173759,0.4565136634879404,4.790419161676647,1.6666666666666667,0
40401,1,4,2.0,9,482,456,35,14,21,2.3970249506618893,-1.863650486861205,-0.159380311851967,7.261410788381744,0.6666666666666666,0
40401,2,1,1.0,31,1194,953,272,214,58,2.4787654904884797,-2.9584130332463205,1.3193671288097355,22.780569514237854,3.689655172413793,1
40401,2,1,2.0,52,1416,1168,300,239,61,2.397901857868036,-2.888595193770593,1.3229807907015143,21.1864406779661,3.918032786885246,1
40401,2,2,1.0,570,17083,15629,2024,1693,331,2.1874359289160856,-2.199453560385916,1.470014772315808,11.84803605924018,5.114803625377643,1
40401,2,2,2.0,640,18240,16654,2226,1808,418,2.185184751600536,-2.182202914742022,1.365073320993533,12.203947368421053,4.3253588516746415,1
40401,2,3,1.0,2731,53276,51515,4492,3661,831,2.050916231311882,-1.9602733327793183,1.3088640212139777,8.431563931226068,4.405535499398315,1
40401,2,3,2.0,2367,51237,49266,4338,3386,952,2.2116660332130578,-1.933568747883625,1.3019695114048417,8.466537853504304,3.55672268907563,1
40401,2,4,1.0,654,8870,8794,730,603,127,2.0588959763658634,-2.0539536376630467,1.3433728243361762,8.229988726042842,4.748031496062992,1
40401,2,4,2.0,706,11929,11551,1084,901,183,2.369100577325959,-1.816669002467504,1.6624623549069517,9.087098667113755,4.923497267759563,1
40401,3,1,1.0,1,72,66,7,5,2,3.8225703738095396,-2.8517000118891396,1.9156359778956313,9.722222222222223,2.5,1
40401,3,1,2.0,5,66,68,3,1,2,3.054254048178641,-3.177266771143133,-1.1000931647025418,4.545454545454546,0.5,0
