ecoregion,elevation,slope,aspect,n_trend_unfitted_count,n_trend_fitted_count,n_insig_trend_count,n_sig_trend_count,positive_sig_trend_count,negative_sig_trend_count,positive_sig_trend_mean,negative_sig_trend_mean,all_sig_trend_mean,percent_sig_pixels,trend_asymmetry_ratio,lsp_change
40301,2,2,1.0,919,34246,32905,2260,406,1854,1.5040328907081388,-1.5486985953019887,-1.0002875407355676,6.599310868422589,0.21898597626752966,1
40301,2,2,2.0,1010,37367,36245,2132,420,1712,1.34748003738607,-1.4846394069317002,-0.9267171899460231,5.705569085021543,0.24532710280373832,1
40301,2,3,1.0,3446,101862,97735,7573,1228,6345,1.4473857814750635,-1.568186911276026,-1.0791966476158732,7.434568337554731,0.19353821907013397,1
40301,2,3,2.0,3439,111972,109860,5551,1315,4236,1.3869502832882135,-1.5246530614271374,-0.8349109612108365,4.957489372343086,0.3104343720491029,0
40301,2,4,1.0,757,15569,15063,1263,189,1074,1.3588081639263268,-1.5549832354139208,-1.1189526934698935,8.112274391418845,0.17597765363128492,1
40301,2,4,2.0,1053,29277,29090,1240,362,878,1.4279351054085052,-1.639357506707943,-0.7439059538158833,4.235406633193292,0.4123006833712984,0
40301,3,1,1.0,2,34,34,2,1,1,1.3793809678819444,-1.2458699544270835,0.06675550672743047,5.88235294117647,1.0,0
40301,3,1,2.0,2,42,42,2,1,1,1.4169418092757935,-1.5473521839488638,-0.06520518733653513,4.761904761904762,1.0,0
40301,3,2,1.0,99,2709,2653,155,97,58,1.4843930106548757,-1.6024108049767367,0.32933093770885324,5.721668512366187,1.6724137931034482,0
40301,3,2,2.0,100,2346,2327,119,50,69,1.6663179720206456,-1.586723629475825,-0.21989942716638344,5.072463768115942,0.7246376811594203,0
40301,3,3,1.0,486,9283,9163,606,386,220,1.2464388387239915,-1.4579290866254722,0.2646551034486087,6.5280620489066035,1.7545454545454546,0
40301,3,3,2.0,521,6938,7074,385,172,213,1.728375811167564,-1.7597358962970155,-0.20141066594920345,5.5491496108388585,0.8075117370892019,0
40301,3,4,1.0,224,2215,2288,151,101,50,1.2255881155893833,-1.4163234933449669,0.35078294706807506,6.817155756207676,2.02,1
40301,3,4,2.0,207,3321,3386,142,57,85,1.56933496036338,-1.7974499364643404,-0.4459940271743402,4.275820535983137,0.6705882352941176,0
40301,4,2,1.0,6,21,26,1,0,1,,-1.825956864790483,-1.825956864790483,4.761904761904762,0.0,0
40301,4,2,2.0,3,18,19,2,1,1,1.3662672776442308,-2.40211181640625,-0.5179222693810095,11.11111111111111,1.0,0
40301,4,3,1.0,7,26,32,1,1,0,0.7725326538085937,,0.7725326538085937,3.8461538461538463,inf,0
40301,4,3,2.0,1,23,22,2,2,0,1.1521370737176193,,1.1521370737176193,8.695652173913043,inf,1
40301,4,4,1.0,20,37,54,3,0,3,,-1.0343919393052692,-1.0343919393052692,8.108108108108109,0.0,1
40301,4,4,2.0,7,75,81,1,1,0,0.6419453938802083,,0.6419453938802083,1.3333333333333335,inf,0
40401,1,1,1.0,0,19,17,2,2,0,1.0423898150104076,,1.0423898150104076,10.526315789473683,inf,1
40401,1,1,2.0,0,22,19,3,0,3,,-1.4882589673239088,-1.4882589673239088,13.636363636363635,0.0,1
40401,1,2,1.0,33,1667,1548,152,20,132,1.2260917808013498,-1.395888033151244,-1.050890689210113,9.118176364727054,0.15151515151515152,1
40401,1,2,2.0,48,1530,1486,92,29,63,1.0778768985082547,-1.467289695874752,-0.6650089215583691,6.0130718954248366,0.4603174603174603,1
40401,1,3,1.0,81,3072,2892,261,39,222,1.1146295218731277,-1.3741353062382289,-1.0022509066353826,8.49609375,0.17567567567567569,1
40401,1,3,2.0,81,3628,3538,171,89,82,0.9715232899330295,-1.2438793224096238,-0.09083351832485115,4.713340683572216,1.0853658536585367,0
40401,1,4,1.0,12,334,318,28,6,22,1.0260760729089542,-1.3082594215679124,-0.8080446727514409,8.383233532934131,0.2727272727272727,1
40401,1,4,2.0,9,482,485,6,3,3,0.9280051347809349,-1.3741076125841751,-0.22305123890162007,1.2448132780082988,1.0,0
40401,2,1,1.0,31,1194,922,303,55,248,2.251719729515328,-2.136696285906681,-1.3401191213911348,25.376884422110553,0.2217741935483871,1
40401,2,1,2.0,52,1416,1159,309,46,263,2.563906925192904,-2.064156975884128,-1.3751895342998446,21.822033898305087,0.17490494296577946,1
40401,2,2,1.0,570,17083,15068,2585,205,2380,1.7555983140687612,-1.6247913941286205,-1.356714067172929,15.132002575660014,0.0861344537815126,1
40401,2,2,2.0,640,18240,16631,2249,251,1998,1.5061656703741806,-1.6327318743184256,-1.2824147183745198,12.330043859649123,0.12562562562562563,1
40401,2,3,1.0,2731,53276,49313,6694,341,6353,1.2911826569684186,-1.453530709154503,-1.3137118776863352,12.56475711389744,0.0536754289312136,1
40401,2,3,2.0,2367,51237,50315,3289,704,2585,1.206078688778493,-1.4879553358593265,-0.9113059125254791,6.419189257762945,0.2723404255319149,1
40401,2,4,1.0,654,8870,8466,1058,66,992,1.3702024740536802,-1.392887937172678,-1.220521238551752,11.927846674182637,0.06653225806451613,1
40401,2,4,2.0,706,11929,12060,575,176,399,1.2055631761225174,-1.4721833011242096,-0.6525600315669504,4.820186101098164,0.44110275689223055,0
40401,3,1,1.0,1,72,69,4,3,1,2.111621738043857,-1.6874872544232535,1.1618444899270797,5.555555555555555,3.0,1
40401,3,1,2.0,5,66,65,6,2,4,2.140421549479167,-1.1335041636107643,-0.042195592580787276,9.090909090909092,0.5,0
40401,3,2,1.0,469,6299,6319,449,106,343,1.62845148020736,-1.552712388972688,-0.8017026559368635,7.128115573900619,0.30903790087463556,1
40401,3,2,2.0,489,5967,6069,387,116,271,1.9704573125401719,-1.654923995427665,-0.5682463940729647,6.485671191553545,0.4280442804428044,1
40401,3,3,1.0,2130,23905,24279,1756,376,1380,1.7154978703507981,-1.4711041156053926,-0.788779316790172,7.345743568291152,0.27246376811594203,1
40401,3,3,2.0,2392,25220,26118,1494,510,984,1.9858422041315713,-1.6971528577793062,-0.43990554748844457,5.923869944488501,0.5182926829268293,0
40401,3,4,1.0,950,6042,6614,378,117,261,1.9576323007577223,-1.62977344368991,-0.5193859513608807,6.256206554121152,0.4482758620689655,1
40401,3,4,2.0,1341,11484,12172,653,280,373,2.254314439355113,-1.8362141708430968,-0.08223559372900986,5.686172065482411,0.7506702412868632,0
40401,4,1,1.0,0,8,6,2,2,0,1.6982083407315343,,1.6982083407315343,25.0,inf,0
40401,4,1,2.0,2,6,7,1,1,0,2.029935524680398,,2.029935524680398,16.666666666666664,inf,0
40401,4,2,1.0,51,512,529,34,24,10,2.0946524243224665,-2.41988581494004,0.766847059833494,6.640625,2.4,1
40401,4,2,2.0,81,488,535,34,23,11,2.3711520845462455,-2.544432414104607,0.7808159232180282,6.967213114754098,2.090909090909091,1
40401,4,3,1.0,199,1729,1810,118,83,35,2.583701520272723,-2.3496476432190043,1.1204199887285664,6.824754193175246,2.3714285714285714,1
40401,4,3,2.0,263,1597,1760,100,47,53,2.804258918959231,-2.651917073126118,-0.087514356846004,6.261740763932373,0.8867924528301887,0
40401,4,4,1.0,142,1083,1150,75,50,25,2.7762883791353836,-2.161257183191146,1.1304398583598738,6.9252077562326875,2.0,0
40401,4,4,2.0,230,1663,1798,95,40,55,3.0767379954386342,-2.9308483913778773,-0.4013383337709246,5.71256764882742,0.7272727272727273,0
40401,5,1,1.0,0,2,2,0,0,0,,,,0.0,,0
40401,5,2,1.0,1,15,14,2,2,0,5.116388761080229,,5.116388761080229,13.333333333333334,inf,1
40401,5,2,2.0,1,13,13,1,1,0,2.6297084263392856,,2.6297084263392856,7.6923076923076925,inf,1
40401,5,3,1.0,0,28,26,2,2,0,3.576272964477539,,3.576272964477539,7.142857142857142,inf,1
40401,5,3,2.0,7,48,51,4,4,0,3.5721152961181337,,3.5721152961181337,8.333333333333332,inf,1
40401,5,4,1.0,8,49,48,9,8,1,3.531052363108075,-8.680719866071428,2.17418878208813,18.367346938775512,8.0,1
40401,5,4,2.0,10,38,47,1,1,0,9.706599934895834,,9.706599934895834,2.631578947368421,inf,0
40403,1,1,1.0,0,3,3,0,0,0,,,,0.0,,0
40403,1,1,2.0,0,10,9,1,0,1,,-0.9381888253348214,-0.9381888253348214,10.0,0.0,0
40403,1,2,1.0,6,111,112,5,0,5,,-1.9042606166607883,-1.9042606166607883,4.504504504504505,0.0,0
40403,1,2,2.0,5,147,148,4,1,3,0.94688720703125,-1.2795638279993533,-0.7229510692417025,2.7210884353741496,0.3333333333333333,0
40403,1,3,1.0,0,161,141,20,1,19,1.063597383554916,-1.4461839488372874,-1.3206948822176772,12.422360248447205,0.05263157894736842,1
